File created on 19/06/2023 at 01:47:14.434

[19/06/2023 - 01:47:14.445 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 01:48:00.436 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 01:48:07.250 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 01:54:11.093 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 01:56:43.179 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 01:56:53.683 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:01:14.004 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:19:34.724 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:19:57.212 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:20:08.967 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:21:06.076 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:21:33.739 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:24:48.694 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:25:15.796 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:28:00.217 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
[19/06/2023 - 02:28:46.048 LOG] (<root>TheRickrollEncyclopedia\index.js:6:8): Starting...
